PROBLEM;PRAWDOPODOBNA PRZYCZYNA;NOWY WZORZEC MYŚLENIA
Addisona Choroba (nadnercza);"Dotkliwe „niedożywienie"" emocjonalne. Złość na siebie.";Z miłością troszczę się o moje ciało, mój umysł i moje emocje.
AIDS;"Poczucie beznadziejności i rozpaczy. „Nikt o mnie nie dba"". Silne przeświadczenie, że nie jest się dość dobrym. Wyparcie się siebie. Poczucie winy na tle seksualnym.";Jestem częścią Wszechświata. Jestem ważny i kochany przez samo Życie. Jestem silny i uzdolniony. Kocham siebie i wysoko siebie cenię.
Aktywność nadmierna;Lęk. Uczucie przytłoczenia.;Jestem bezpieczny. Znika wszelkie napięcie. Jestem wystarczająco dobry.
Alergia (uczulenie);Na kogo jesteś uczulony? Wypieranie się własnej mocy.;Świat jest bezpieczny i przyjazny. Jestem bezpieczny. Jestem w zgodzie z życiem.
Alkoholizm;"„Po co to wszystko""? Poczucie daremności, winy, nie nadawania się.";Żyję w teraźniejszości. Każda chwila jest nowa. Chcę widzieć swoją wartość. Kocham i akceptuję siebie.
Alzheimera choroba;Opór przed doświadczaniem świata takim, jaki jest. Brak nadziei i bezradność. Gniew.;Zawsze istnieje dla mnie nowa, lepsza droga doświadczania życia. Wybaczam sobie przeszłość i uwalniam ją. Podążam naprzód ku radości.
Amnezja (utrata pamięci);Lęk. Ucieczka od życia. Niezdolność do obrony swojego ja.;Ufam swojej inteligencji i odwadze, mam poczucie własnej wartości. Bezpiecznie jest żyć.
Angina, dyfteryt;Silne przekonanie, że nie możesz wyrażać siebie i prosić o to, czego potrzebujesz.;Zasługuję na to, by moje potrzeby zostały spełnione. Z miłością i bez trudu proszę o to, czego potrzebuję i dostaję to.
Anemia;"Postawa „tak, ale..."". Brak radości, lęk przed życiem. Poczucie, że nie jest się „dość dobrym"".";Bezpiecznie jest przeżywać radość w każdej dziedzinie mojego życia. Kocham życie.
Anemia sierpowata;"„To dziecko nie jest dość dobre"" — przekonanie, które niszczy każdą radość życia.";To dziecko żyje i oddycha radością życia i żywi się miłością. Bóg czyni cuda każdego dnia.
Apatia;Ucieczka przed odczuwaniem. Tłumienie swojego ja. Lęk.;Bezpiecznie jest odczuwać. Otwieram się na życie. Chcę doświadczać życia.
Apetyt — nadmierny;Lęk. Potrzeba ochrony. Osądzanie swoich uczuć.;Jestem bezpieczny. Bezpiecznie jest czuć. Moje uczucia są normalne i godne akceptacji.
Apetyt — utrata;Lęk. Ochranianie siebie. Nieufność wobec życia.;Kocham i aprobuję siebie. Jestem bezpieczny. Życie jest bezpieczne i radosne.
Arterioskleroza (miażdżyca);Opór, napięcie. Zatwardziałość, ciasnota umysłowa. Niechęć do dostrzegania dobra.;Jestem zupełnie otwarty dla życia i radości. Chcę widzieć oczami miłości.